Dates,S,T,Rd,Rf,SEMP,S25RR,S25BF,S10RR,S10BF,S10P,S25P,SATM,S25C,S10C,K10P,K25P,KATM,K25C,K10C,Info
2000-02-11,7.7817,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-14,7.7803,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-15,7.7805,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-16,7.7813,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-17,7.7813,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-18,7.781,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-21,7.7818000000000005,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-22,7.7821,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-23,7.7823,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-24,7.7826,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-25,7.7823,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-28,7.7822,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-29,7.7828,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-01,7.7823,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-02,7.7824,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-03,7.7828,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-06,7.7835,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-07,7.7837,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-08,7.784,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-09,7.7841000000000005,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-10,7.7839,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-13,7.7842,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-14,7.784,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-15,7.7843,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-16,7.7844,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-17,7.785,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-20,7.7855,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-21,7.7856,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-22,7.7856,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-23,7.785,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-24,7.7843,1.5,,,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-27,7.7849,1.5,,,0.0010638652616054738,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-28,7.7851,1.5,,,0.0009911453662993384,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-29,7.7861,1.5,,,0.0010163665720049808,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-30,7.7864,1.5,,,0.0010165540871427117,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-31,7.7866,1.5,,,0.0010125050105458779,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-03,7.7868,1.5,,,0.0009976574699589336,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-04,7.7866,1.5,,,0.0009991226338781983,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-05,7.7863,1.5,,,0.0010049304392673378,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-06,7.7869,1.5,,,0.0010107100735091985,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-07,7.7873,1.5,,,0.0010123659142045158,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-10,7.7869,1.5,,,0.0010221907908225447,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-11,7.7868,1.5,,,0.001023990612626418,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-12,7.7877,1.5,,,0.0010436329637909295,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-13,7.788,1.5,,,0.0010342367484100262,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-14,7.7879000000000005,1.5,,,0.0010342600202636325,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-17,7.7881,1.5,,,0.0010335532016640977,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-18,7.7884,1.5,,,0.001023985559251955,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-19,7.7885,1.5,,,0.000992617873426015,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-20,7.7886,1.5,,,0.0009925412414187563,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-21,7.7884,1.5,,,0.000995867865778297,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-24,7.7886,1.5,,,0.0009959669934261207,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-25,7.7886,1.5,,,0.0009940892297726554,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-26,7.7884,1.5,,,0.0009516855366363502,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-27,7.7886,1.5,,,0.0009170118881581987,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-28,7.7893,1.5,,,0.000921807135344153,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-01,7.7893,1.5,,,0.0009105289733304868,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-02,7.7894,1.5,,,0.0008589778632917287,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-03,7.7899,1.5,,,0.0008627932828117426,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-04,7.79,1.5,,,0.0008507804562702435,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-05,7.7907,1.5,,,0.0008507438912950357,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-08,7.7891,1.5,,,0.0008771889389527536,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-09,7.7899,1.5,,,0.0008936678236063992,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-10,7.7897,1.5,,,0.0008816968158181091,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-11,7.7897,1.5,,,0.0008816968158181091,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-12,7.7899,1.5,,,0.0008739591130869038,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-15,7.7895,1.5,,,0.000867987943228169,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-16,7.7901,1.5,,,0.0008756514121020824,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-17,7.7913,1.5,,,0.0009190813305861844,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-18,7.7913,1.5,,,0.00091902232516269,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-19,7.7912,1.5,,,0.0009137281942593773,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-22,7.7918,1.5,,,0.0009188311486490052,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-23,7.7914,1.5,,,0.0009227304316955841,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-24,7.7924,1.5,,,0.000933312872432411,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-25,7.7918,1.5,,,0.000954665568399473,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-26,7.7922,1.5,,,0.0009546569690061571,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-29,7.7923,1.5,,,0.0009436730108626346,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-30,7.7929,1.5,,,0.0009510352537411461,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-31,7.7922,1.5,,,0.0009760225645543633,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-01,7.7921,1.5,,,0.000977952454502056,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-02,7.792,1.5,,,0.0009759170373378302,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-05,7.7939,1.5,,,0.0010792907733978467,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-06,7.7931,1.5,,,0.0011044624989169026,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-07,7.7934,1.5,,,0.0011044592108205053,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-08,7.7933,1.5,,,0.0011063540545153388,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-09,7.7932,1.5,,,0.0011015829073896652,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-12,7.7938,1.5,,,0.00110417955571289,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-13,7.7931,1.5,,,0.0011257902686157763,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-14,7.7928,1.5,,,0.0011308465633378996,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-15,7.7936,1.5,,,0.0011280747454562277,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-16,7.7942,1.5,,,0.001111489230060613,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-19,7.7941,1.5,,,0.0011074757562919903,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-20,7.7927,1.5,,,0.00117971168514013,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-21,7.7933,1.5,,,0.0011635449803274682,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-22,7.7928,1.5,,,0.0011737336482883158,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-23,7.7905999999999995,1.5,,,0.001319737820092027,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-26,7.7923,1.5,,,0.0013871019360090979,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-27,7.7942,1.5,,,0.0014632538189039022,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-28,7.7954,1.5,,,0.0014852974306443687,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-29,7.7952,1.5,,,0.0014832190198728465,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-06-30,7.7956,1.5,,,0.0014832137724164903,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-03,7.7958,1.5,,,0.0014763210315558888,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-04,7.796,1.5,,,0.0014748891532993006,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-05,7.7961,1.5,,,0.0014614332132394704,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-06,7.7964,1.5,,,0.0014614307422263647,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-07,7.7963000000000005,1.5,,,0.0014614295067661366,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-10,7.7965,1.5,,,0.0014614288890471875,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-11,7.7957,1.5,,,0.0014812791216348177,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-12,7.7961,1.5,,,0.0014830541169865588,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-13,7.7956,1.5,,,0.00149210144030031,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-14,7.7963000000000005,1.5,,,0.0014973783523458018,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-17,7.7968,1.5,,,0.0015003880599068257,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-18,7.7966999999999995,1.5,,,0.0015012514793918998,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-19,7.7968,1.5,,,0.0014986331208402066,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-20,7.7969,1.5,,,0.0014985824731058417,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-21,7.7966,1.5,,,0.001495307378055385,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-24,7.7959,1.5,,,0.001510435024341689,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-25,7.7968,1.5,,,0.00152452117957386,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-26,7.7982,1.5,,,0.0015578479334561728,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-27,7.7975,1.5,,,0.001573221868565101,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-28,7.7981,1.5,,,0.0015708741230648885,,,,,,,,,,nan,nan,nan,nan,nan,0
