Dates,S,T,Rd,Rf,SEMP,S25RR,S25BF,S10RR,S10BF,S10P,S25P,SATM,S25C,S10C,K10P,K25P,KATM,K25C,K10C,Info
2000-02-17,7.7813,2,0.07136666666666668,0.07183333333333335,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-18,7.781,2,0.0716,0.0722,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-21,7.7818000000000005,2,0.07173333333333333,0.07243333333333334,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-22,7.7821,2,0.07183333333333333,0.07218333333333334,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-23,7.7823,2,0.07163333333333334,0.07665000000000001,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-24,7.7826,2,0.07160000000000001,0.07618333333333333,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-25,7.7823,2,0.0714,0.07566666666666666,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-28,7.7822,2,0.07116666666666667,0.07053333333333334,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-02-29,7.7828,2,0.07105,0.07043333333333333,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-01,7.7823,2,0.07105,0.07063333333333333,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-02,7.7824,2,0.07095,0.0707,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-03,7.7828,2,0.0706,0.0706,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-06,7.7835,2,0.07023333333333333,0.07068333333333333,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-07,7.7837,2,0.07013333333333333,0.07061666666666666,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-08,7.784,2,0.07006666666666667,0.07071666666666666,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-09,7.7841000000000005,2,0.06996666666666666,0.07064999999999999,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-10,7.7839,2,0.06985000000000001,0.07081666666666667,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-13,7.7842,2,0.06995,0.07091666666666667,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-14,7.784,2,0.07005,0.07100000000000001,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-15,7.7843,2,0.07008333333333333,0.07103333333333334,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-16,7.7844,2,0.06999999999999999,0.07103333333333332,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-17,7.785,2,0.06988333333333334,0.07105,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-20,7.7855,2,0.06983333333333332,0.07096666666666666,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-21,7.7856,2,0.0697,0.07095,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-22,7.7856,2,0.06958333333333334,0.07093333333333333,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-23,7.785,2,0.06943333333333335,0.07095,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-24,7.7843,2,0.06943333333333335,0.0714,,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-27,7.7849,2,0.06971666666666666,0.07203333333333334,0.0010638652616054738,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-28,7.7851,2,0.06993333333333333,0.07258333333333333,0.0009911453662993384,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-29,7.7861,2,0.06998333333333333,0.07261666666666668,0.0010163665720049808,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-30,7.7864,2,0.06985000000000001,0.07235000000000001,0.0010165540871427117,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-03-31,7.7866,2,0.06981666666666667,0.07205,0.0010125050105458779,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-03,7.7868,2,0.06995,0.07171666666666666,0.0009976574699589336,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-04,7.7866,2,0.07003333333333334,0.07101666666666667,0.0009991226338781983,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-05,7.7863,2,0.06983333333333333,0.07046666666666668,0.0010049304392673378,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-06,7.7869,2,0.06956666666666667,0.07006666666666667,0.0010107100735091985,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-07,7.7873,2,0.0694,0.07023333333333333,0.0010123659142045158,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-10,7.7869,2,0.06946666666666666,0.0702,0.0010221907908225447,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-11,7.7868,2,0.06943333333333333,0.0703,0.001023990612626418,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-12,7.7877,2,0.06933333333333334,0.07035000000000001,0.0010436329637909295,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-13,7.788,2,0.06926666666666666,0.07051666666666667,0.0010342367484100262,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-14,7.7879000000000005,2,0.06933333333333334,0.07024999999999999,0.0010342600202636325,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-17,7.7881,2,0.06923333333333333,0.07003333333333334,0.0010335532016640977,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-18,7.7884,2,0.06913333333333334,0.06979999999999999,0.001023985559251955,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-19,7.7885,2,0.069,0.06995,0.000992617873426015,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-20,7.7886,2,0.06893333333333333,0.07008333333333334,0.0009925412414187563,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-21,7.7884,2,0.06886666666666667,0.07025,0.000995867865778297,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-24,7.7886,2,0.0688,0.0703,0.0009959669934261207,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-25,7.7886,2,0.06886666666666667,0.07063333333333334,0.0009940892297726554,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-26,7.7884,2,0.06923333333333333,0.07103333333333334,0.0009516855366363502,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-27,7.7886,2,0.06960000000000001,0.07183333333333335,0.0009170118881581987,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-04-28,7.7893,2,0.07030000000000002,0.07253333333333334,0.000921807135344153,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-01,7.7893,2,0.0707,0.07316666666666667,0.0009105289733304868,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-02,7.7894,2,0.07130000000000002,0.07345000000000002,0.0008589778632917287,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-03,7.7899,2,0.07160000000000001,0.07361666666666666,0.0008627932828117426,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-04,7.79,2,0.0722,0.07415,0.0008507804562702435,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-05,7.7907,2,0.07273333333333334,0.075,0.0008507438912950357,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-08,7.7891,2,0.0735,0.0758,0.0008771889389527536,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-09,7.7899,2,0.07396666666666667,0.07603333333333334,0.0008936678236063992,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-10,7.7897,2,0.07431666666666667,0.07575,0.0008816968158181091,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-11,7.7897,2,0.07433333333333333,0.07548333333333333,0.0008816968158181091,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-12,7.7899,2,0.07446666666666667,0.07573333333333333,0.0008739591130869038,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-15,7.7895,2,0.07491666666666667,0.07615000000000001,0.000867987943228169,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-16,7.7901,2,0.0752,0.07646666666666667,0.0008756514121020824,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-17,7.7913,2,0.07536666666666668,0.07658333333333332,0.0009190813305861844,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-18,7.7913,2,0.07528333333333333,0.07676666666666666,0.00091902232516269,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-19,7.7912,2,0.07545,0.07668333333333333,0.0009137281942593773,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-22,7.7918,2,0.07528333333333333,0.07631666666666667,0.0009188311486490052,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-23,7.7914,2,0.07503333333333333,0.07598333333333333,0.0009227304316955841,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-24,7.7924,2,0.07466666666666667,0.07598333333333333,0.000933312872432411,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-05-25,7.7918,2,0.07476666666666666,0.07595,0.000954665568399473,,,,,,,,,,nan,nan,nan,nan,nan,0
